year,sex,nus,ntu,smu,sit,sutd,suss,nie,singapore_polytechnic,ngee_ann_polytechnic,temasek_polytechnic,nanyang_polytechnic,republic_polytechnic,lasalle_diploma,lasalle_degree,nafa_diploma,nafa_degree,ite
1983,MF,2905,0,-,-,-,-,597,1624,928,-,-,-,-,-,-,-,6779
1983,F,1508,0,-,-,-,-,453,316,343,-,-,-,-,-,-,-,905
1984,MF,3409,0,-,-,-,-,875,1773,1293,-,-,-,-,-,-,-,6281
1984,F,1826,0,-,-,-,-,687,371,456,-,-,-,-,-,-,-,1785
1985,MF,3454,557,-,-,-,-,531,1862,1543,-,-,-,-,-,-,-,7597
1985,F,2117,56,-,-,-,-,407,410,589,-,-,-,-,-,-,-,2300
1986,MF,3860,661,-,-,-,-,756,2258,1931,-,-,-,-,-,-,-,8472
1986,F,2476,64,-,-,-,-,580,494,765,-,-,-,-,-,-,-,2638
1987,MF,3974,664,-,-,-,-,852,2540,2710,-,-,-,-,-,-,-,8797
1987,F,2390,104,-,-,-,-,679,677,944,-,-,-,-,-,-,-,2851
1988,MF,3624,1122,-,-,-,-,1022,2645,3059,-,-,-,-,-,-,-,9025
1988,F,1993,386,-,-,-,-,806,674,1181,-,-,-,-,-,-,-,3276
1989,MF,3986,1316,-,-,-,-,833,2594,2941,-,-,-,-,-,-,-,7532
1989,F,2150,522,-,-,-,-,621,702,1082,-,-,-,-,-,-,-,2837
1990,MF,4001,1333,-,-,-,-,929,3112,3087,-,-,-,-,-,-,-,7469
1990,F,2307,510,-,-,-,-,694,1011,1233,-,-,-,-,-,-,-,2889
1991,MF,4440,1547,-,-,-,-,1026,3103,3210,89,-,-,-,-,-,-,6966
1991,F,2584,626,-,-,-,-,760,1030,1307,54,-,-,-,-,-,-,2674
1992,MF,4615,2016,-,-,-,-,1223,3502,3765,87,-,-,-,-,-,-,6910
1992,F,2689,768,-,-,-,-,934,1261,1660,55,-,-,-,-,-,-,2736
1993,MF,4665,2583,-,-,-,-,1157,3978,3992,588,-,-,-,-,-,-,6889
1993,F,2655,1028,-,-,-,-,867,1472,1757,444,-,-,-,-,-,-,2535
1994,MF,4802,2713,-,-,-,-,1266,4241,4004,796,515,-,-,-,-,-,6732
1994,F,2621,1005,-,-,-,-,942,1664,1818,501,103,-,-,-,-,-,2301
1995,MF,4920,3007,-,-,-,-,1056,4251,4075,866,966,-,-,-,-,-,6082
1995,F,2803,1120,-,-,-,-,740,1762,1750,538,591,-,-,-,-,-,1993
1996,MF,5145,3073,-,-,-,-,946,4121,3855,1214,1981,-,-,-,-,-,4650
1996,F,2944,1252,-,-,-,-,679,1615,1645,685,1077,-,-,-,-,-,1547
1997,MF,5493,3186,-,-,-,-,1597,4233,4073,1320,2222,-,-,-,-,-,4073
1997,F,3021,1382,-,-,-,-,1148,1671,1869,741,1266,-,-,-,-,-,1318
1998,MF,5908,3423,-,-,-,-,1421,4001,4363,2208,2235,-,-,-,-,-,5414
1998,F,3376,1500,-,-,-,-,997,1510,1861,1290,1297,-,-,-,-,-,2375
1999,MF,5762,3593,-,-,-,-,1653,4016,4337,2907,2416,-,-,-,-,-,7718
1999,F,3337,1533,-,-,-,-,1175,1552,1915,1535,1355,-,-,-,-,-,2585
2000,MF,5631,3613,-,-,-,-,2445,3974,4187,3336,2562,-,-,-,-,-,7650
2000,F,3270,1583,-,-,-,-,1681,1619,1844,1776,1471,-,-,-,-,-,2429
2001,MF,5958,3628,-,-,-,-,2022,3958,4257,3543,3178,-,-,-,-,-,7208
2001,F,3454,1640,-,-,-,-,1418,1683,1823,1924,1811,-,-,-,-,-,2484
2002,MF,6277,3646,-,-,-,-,2186,3955,4399,3690,3537,-,-,-,-,-,7084
2002,F,3613,1701,-,-,-,-,1570,1604,2069,1930,1874,-,-,-,-,-,2499
2003,MF,5960,4042,8,-,-,-,2772,3981,4210,3837,3376,-,-,-,-,-,7741
2003,F,3238,1808,4,-,-,-,1965,1653,2056,1971,1775,-,-,-,-,-,2778
2004,MF,5858,4067,240,-,-,-,1989,4504,4289,4102,3939,-,-,-,-,-,8127
2004,F,3161,1843,167,-,-,-,1430,1871,2069,2072,2104,-,-,-,-,-,3057
2005,MF,5575,4048,408,-,-,-,2020,4537,4143,3633,4202,-,369,-,345,-,9059
2005,F,3051,1964,315,-,-,-,1341,1821,2068,1921,2303,-,213,-,200,-,3492
2006,MF,5621,4241,565,-,-,-,2096,4103,4084,3718,4114,619,370,-,464,-,10056
2006,F,3055,1974,399,-,-,-,1416,1574,1990,1860,2385,291,227,-,295,-,3724
2007,MF,5500,4845,826,-,-,-,2348,3953,4013,3928,4591,928,438,-,441,-,10479
2007,F,2943,2127,500,-,-,-,1590,1532,1911,2003,2645,435,268,-,293,-,4019
2008,MF,5601,4808,1063,-,-,-,2188,4250,4504,4565,4447,1551,481,-,610,-,10600
2008,F,2982,2286,686,-,-,-,1486,1644,2247,2399,2391,815,296,-,409,-,4059
2009,MF,5779,5058,1110,-,-,-,2179,4334,4581,4815,4388,2106,566,-,559,-,10999
2009,F,3012,2570,562,-,-,-,1492,1610,2186,2396,2279,1119,351,-,389,-,4311
2010,MF,5833,5412,1206,-,-,-,2416,4627,4534,4848,4483,2953,578,-,518,-,11334
2010,F,3124,2544,546,-,-,-,1622,1700,2237,2429,2502,1594,371,-,365,-,4488
2011,MF,6088,5733,1504,-,-,-,2415,4921,4857,5020,4829,3291,499,-,583,-,11165
2011,F,3403,2951,831,-,-,-,1626,1982,2437,2429,2536,1722,333,-,409,-,4326
2012,MF,5969,5807,1603,233,-,-,2255,5016,4955,5133,4965,3930,511,-,564,-,11530
2012,F,3149,2909,919,134,-,-,1538,2060,2432,2545,2644,2083,316,-,390,-,4425
2013,MF,6395,6476,1659,958,-,-,2178,5082,4983,4886,5146,4060,406,435,674,18,11888
2013,F,3281,3310,834,559,-,-,1447,2141,2420,2447,2729,2123,282,291,458,9,4580
2014,MF,6210,5993,1602,1236,-,-,1732,5026,5166,5116,4983,4430,371,520,633,25,11062
2014,F,3224,2951,772,583,-,-,1125,1995,2513,2559,2603,2342,222,397,439,13,3883
2015,MF,6179,5756,1639,1364,298,-,1880,5057,5182,5119,4642,4631,346,363,617,24,13351
2015,F,3192,2777,840,602,136,-,1328,1988,2568,2529,2400,2496,218,260,436,11,5140
2016,MF,6305,5856,1804,1285,246,-,1628,5007,5258,5064,5161,4614,331,407,527,25,12516
2016,F,3332,3066,1030,539,93,-,1076,1984,2512,2495,2727,2493,226,286,365,18,4863
2017,MF,6446,6174,1779,1494,267,-,1292,4924,4886,5012,4999,4389,331,466,591,34,12858
2017,F,3350,3266,920,695,107,-,899,2000,2400,2516,2605,2407,237,318,447,22,4808
2018,MF,6700,5990,1887,1744,334,168,1153,4380,4687,4556,4584,4407,333,429,668,15,13421
2018,F,3606,2953,903,749,152,112,843,1809,2314,2290,2414,2348,216,319,488,10,5026
